,Time,State,Probability
1501,0.11682863440082104,2,0.14
1502,0.11682863440082104,3,0.59
1503,0.11682863440082104,4,0.22
1504,0.11786007446517818,1,0.05
1505,0.11786007446517818,2,0.14
1506,0.11786007446517818,3,0.59
1507,0.11786007446517818,4,0.22
1508,0.1181202303771317,1,0.05
1509,0.1181202303771317,2,0.14
1510,0.1181202303771317,3,0.59
1511,0.1181202303771317,4,0.22
1512,0.11849656418745477,1,0.06
1513,0.11849656418745477,2,0.14
1514,0.11849656418745477,3,0.6
1515,0.11849656418745477,4,0.2
1516,0.11868560859700224,1,0.07
1517,0.11868560859700224,2,0.13
1518,0.11868560859700224,3,0.61
1519,0.11868560859700224,4,0.19
1520,0.11891270416778815,1,0.07
1521,0.11891270416778815,2,0.13
1522,0.11891270416778815,3,0.61
1523,0.11891270416778815,4,0.19
1524,0.1192058638795124,1,0.08
1525,0.1192058638795124,2,0.12
1526,0.1192058638795124,3,0.62
1527,0.1192058638795124,4,0.18
1528,0.1197286734252277,1,0.08
1529,0.1197286734252277,2,0.13
1530,0.1197286734252277,3,0.62
1531,0.1197286734252277,4,0.17
1532,0.12011543230696035,1,0.08
1533,0.12011543230696035,2,0.13
1534,0.12011543230696035,3,0.62
1535,0.12011543230696035,4,0.17
1536,0.12037218626431372,1,0.09
1537,0.12037218626431372,2,0.12
1538,0.12037218626431372,3,0.61
1539,0.12037218626431372,4,0.18
1540,0.12051233783621407,1,0.08
1541,0.12051233783621407,2,0.12
1542,0.12051233783621407,3,0.6
1543,0.12051233783621407,4,0.2
1544,0.12086911493754633,1,0.08
1545,0.12086911493754633,2,0.12
1546,0.12086911493754633,3,0.6
1547,0.12086911493754633,4,0.2
1548,0.12119758716511406,1,0.08
1549,0.12119758716511406,2,0.12
1550,0.12119758716511406,3,0.62
1551,0.12119758716511406,4,0.18
1552,0.12144063740131404,1,0.06
1553,0.12144063740131404,2,0.12
1554,0.12144063740131404,3,0.62
1555,0.12144063740131404,4,0.2
1556,0.12154762426536472,1,0.06
1557,0.12154762426536472,2,0.12
1558,0.12154762426536472,3,0.64
1559,0.12154762426536472,4,0.18
1560,0.1218328167021826,1,0.05
1561,0.1218328167021826,2,0.12
1562,0.1218328167021826,3,0.65
1563,0.1218328167021826,4,0.18
1564,0.12224639738426298,1,0.05
1565,0.12224639738426298,2,0.13
1566,0.12224639738426298,3,0.63
1567,0.12224639738426298,4,0.19
1568,0.12233598733959074,1,0.05
1569,0.12233598733959074,2,0.13
1570,0.12233598733959074,3,0.65
1571,0.12233598733959074,4,0.17
1572,0.12249471256429041,1,0.05
1573,0.12249471256429041,2,0.13
1574,0.12249471256429041,3,0.63
1575,0.12249471256429041,4,0.19
1576,0.12275051568907921,1,0.04
1577,0.12275051568907921,2,0.13
1578,0.12275051568907921,3,0.62
1579,0.12275051568907921,4,0.21
1580,0.12304300957929327,1,0.04
1581,0.12304300957929327,2,0.14
1582,0.12304300957929327,3,0.62
1583,0.12304300957929327,4,0.2
1584,0.12322698295957572,1,0.04
1585,0.12322698295957572,2,0.14
1586,0.12322698295957572,3,0.62
1587,0.12322698295957572,4,0.2
1588,0.12351004226891872,1,0.04
1589,0.12351004226891872,2,0.14
1590,0.12351004226891872,3,0.62
1591,0.12351004226891872,4,0.2
1592,0.12369301923831767,1,0.05
1593,0.12369301923831767,2,0.13
1594,0.12369301923831767,3,0.61
1595,0.12369301923831767,4,0.21
1596,0.12371973947292852,1,0.05
1597,0.12371973947292852,2,0.13
1598,0.12371973947292852,3,0.63
1599,0.12371973947292852,4,0.19
1600,0.12422114066891483,1,0.05
1601,0.12422114066891483,2,0.12
1602,0.12422114066891483,3,0.63
1603,0.12422114066891483,4,0.2
1604,0.12473287907886654,1,0.05
1605,0.12473287907886654,2,0.12
1606,0.12473287907886654,3,0.61
1607,0.12473287907886654,4,0.22
1608,0.1250578259591446,1,0.05
1609,0.1250578259591446,2,0.12
1610,0.1250578259591446,3,0.61
1611,0.1250578259591446,4,0.22
1612,0.12515544214721763,1,0.04
1613,0.12515544214721763,2,0.12
1614,0.12515544214721763,3,0.6
1615,0.12515544214721763,4,0.24
1616,0.12556101228465086,1,0.03
1617,0.12556101228465086,2,0.12
1618,0.12556101228465086,3,0.61
1619,0.12556101228465086,4,0.24
1620,0.12586976828458157,1,0.03
1621,0.12586976828458157,2,0.12
1622,0.12586976828458157,3,0.63
1623,0.12586976828458157,4,0.22
1624,0.12602004652093174,1,0.03
1625,0.12602004652093174,2,0.12
1626,0.12602004652093174,3,0.61
1627,0.12602004652093174,4,0.24
1628,0.12619267467658168,1,0.03
1629,0.12619267467658168,2,0.12
1630,0.12619267467658168,3,0.61
1631,0.12619267467658168,4,0.24
1632,0.12694838080785023,1,0.04
1633,0.12694838080785023,2,0.12
1634,0.12694838080785023,3,0.6
1635,0.12694838080785023,4,0.24
1636,0.12722110719122784,1,0.03
1637,0.12722110719122784,2,0.12
1638,0.12722110719122784,3,0.61
1639,0.12722110719122784,4,0.24
1640,0.12747817225808883,1,0.03
1641,0.12747817225808883,2,0.13
1642,0.12747817225808883,3,0.61
1643,0.12747817225808883,4,0.23
1644,0.12795020068388777,1,0.03
1645,0.12795020068388777,2,0.14
1646,0.12795020068388777,3,0.59
1647,0.12795020068388777,4,0.24
1648,0.12804724866236541,1,0.03
1649,0.12804724866236541,2,0.15
1650,0.12804724866236541,3,0.57
1651,0.12804724866236541,4,0.25
1652,0.12829207124787673,1,0.04
1653,0.12829207124787673,2,0.14
1654,0.12829207124787673,3,0.58
1655,0.12829207124787673,4,0.24
1656,0.12853189861169828,1,0.04
1657,0.12853189861169828,2,0.14
1658,0.12853189861169828,3,0.56
1659,0.12853189861169828,4,0.26
1660,0.12907436558146354,1,0.05
1661,0.12907436558146354,2,0.13
1662,0.12907436558146354,3,0.57
1663,0.12907436558146354,4,0.25
1664,0.12914694385663605,1,0.04
1665,0.12914694385663605,2,0.13
1666,0.12914694385663605,3,0.56
1667,0.12914694385663605,4,0.27
1668,0.12943709470696832,1,0.05
1669,0.12943709470696832,2,0.13
1670,0.12943709470696832,3,0.57
1671,0.12943709470696832,4,0.25
1672,0.12966494535813594,1,0.04
1673,0.12966494535813594,2,0.13
1674,0.12966494535813594,3,0.58
1675,0.12966494535813594,4,0.25
1676,0.13043992674214638,1,0.04
1677,0.13043992674214638,2,0.14
1678,0.13043992674214638,3,0.58
1679,0.13043992674214638,4,0.24
1680,0.13045341339371502,1,0.05
1681,0.13045341339371502,2,0.14
1682,0.13045341339371502,3,0.59
1683,0.13045341339371502,4,0.22
1684,0.13057641838663167,1,0.05
1685,0.13057641838663167,2,0.15
1686,0.13057641838663167,3,0.59
1687,0.13057641838663167,4,0.21
1688,0.13069962130236273,1,0.05
1689,0.13069962130236273,2,0.14
1690,0.13069962130236273,3,0.59
1691,0.13069962130236273,4,0.22
1692,0.13080735301386365,1,0.05
1693,0.13080735301386365,2,0.14
1694,0.13080735301386365,3,0.59
1695,0.13080735301386365,4,0.22
1696,0.13097474114538435,1,0.04
1697,0.13097474114538435,2,0.15
1698,0.13097474114538435,3,0.58
1699,0.13097474114538435,4,0.23
1700,0.13126575822525108,1,0.04
1701,0.13126575822525108,2,0.16
1702,0.13126575822525108,3,0.56
1703,0.13126575822525108,4,0.24
1704,0.13176207915859225,1,0.04
1705,0.13176207915859225,2,0.16
1706,0.13176207915859225,3,0.58
1707,0.13176207915859225,4,0.22
1708,0.13211810060287177,1,0.03
1709,0.13211810060287177,2,0.16
1710,0.13211810060287177,3,0.59
1711,0.13211810060287177,4,0.22
1712,0.13257574281367485,1,0.02
1713,0.13257574281367485,2,0.16
1714,0.13257574281367485,3,0.58
1715,0.13257574281367485,4,0.24
1716,0.13269852187540318,1,0.02
1717,0.13269852187540318,2,0.17
1718,0.13269852187540318,3,0.56
1719,0.13269852187540318,4,0.25
1720,0.13279012892098763,1,0.01
1721,0.13279012892098763,2,0.18
1722,0.13279012892098763,3,0.55
1723,0.13279012892098763,4,0.26
1724,0.13296027165814972,1,0.01
1725,0.13296027165814972,2,0.18
1726,0.13296027165814972,3,0.57
1727,0.13296027165814972,4,0.24
1728,0.13331720164062366,1,0.01
1729,0.13331720164062366,2,0.18
1730,0.13331720164062366,3,0.57
1731,0.13331720164062366,4,0.24
1732,0.1334591444366629,1,0.01
1733,0.1334591444366629,2,0.18
1734,0.1334591444366629,3,0.57
1735,0.1334591444366629,4,0.24
1736,0.1336295209635958,1,0.01
1737,0.1336295209635958,2,0.18
1738,0.1336295209635958,3,0.57
1739,0.1336295209635958,4,0.24
1740,0.1341175239028582,1,0.01
1741,0.1341175239028582,2,0.18
1742,0.1341175239028582,3,0.57
1743,0.1341175239028582,4,0.24
1744,0.1348688275478286,1,0.01
1745,0.1348688275478286,2,0.18
1746,0.1348688275478286,3,0.55
1747,0.1348688275478286,4,0.26
1748,0.13507868527605582,1,0.02
1749,0.13507868527605582,2,0.18
1750,0.13507868527605582,3,0.54
1751,0.13507868527605582,4,0.26
1752,0.13525706602896373,1,0.02
1753,0.13525706602896373,2,0.18
1754,0.13525706602896373,3,0.56
1755,0.13525706602896373,4,0.24
1756,0.13542242272922989,1,0.02
1757,0.13542242272922989,2,0.18
1758,0.13542242272922989,3,0.54
1759,0.13542242272922989,4,0.26
1760,0.1356631323791357,1,0.02
1761,0.1356631323791357,2,0.17
1762,0.1356631323791357,3,0.56
1763,0.1356631323791357,4,0.25
1764,0.1364543563882096,1,0.03
1765,0.1364543563882096,2,0.17
1766,0.1364543563882096,3,0.57
1767,0.1364543563882096,4,0.23
1768,0.13751289102131645,1,0.04
1769,0.13751289102131645,2,0.16
1770,0.13751289102131645,3,0.58
1771,0.13751289102131645,4,0.22
1772,0.13767270318317096,1,0.04
1773,0.13767270318317096,2,0.15
1774,0.13767270318317096,3,0.6
1775,0.13767270318317096,4,0.21
1776,0.1379422409113895,1,0.05
1777,0.1379422409113895,2,0.15
1778,0.1379422409113895,3,0.61
1779,0.1379422409113895,4,0.19
1780,0.13841068914644244,1,0.04
1781,0.13841068914644244,2,0.16
1782,0.13841068914644244,3,0.6
1783,0.13841068914644244,4,0.2
1784,0.13857199240183735,1,0.05
1785,0.13857199240183735,2,0.16
1786,0.13857199240183735,3,0.61
1787,0.13857199240183735,4,0.18
1788,0.13876338519709952,1,0.05
1789,0.13876338519709952,2,0.15
1790,0.13876338519709952,3,0.63
1791,0.13876338519709952,4,0.17
1792,0.13885981936274028,1,0.06
1793,0.13885981936274028,2,0.14
1794,0.13885981936274028,3,0.64
1795,0.13885981936274028,4,0.16
1796,0.13929424690704506,1,0.06
1797,0.13929424690704506,2,0.15
1798,0.13929424690704506,3,0.64
1799,0.13929424690704506,4,0.15
1800,0.1397755417247618,1,0.06
1801,0.1397755417247618,2,0.16
1802,0.1397755417247618,3,0.62
1803,0.1397755417247618,4,0.16
1804,0.13984878876543008,1,0.06
1805,0.13984878876543008,2,0.16
1806,0.13984878876543008,3,0.6
1807,0.13984878876543008,4,0.18
1808,0.13997103119114152,1,0.07
1809,0.13997103119114152,2,0.16
1810,0.13997103119114152,3,0.61
1811,0.13997103119114152,4,0.16
